ActivityHour,ActivityDay,Id,Calories,TotalIntensity,AverageIntensity,StepTotal
06:00,2016-04-14,1503960366,47,0,0.0,0
07:00,2016-04-14,1503960366,47,0,0.0,0
08:00,2016-04-14,1503960366,47,0,0.0,0
09:00,2016-04-14,1503960366,93,14,0.233333,902
10:00,2016-04-14,1503960366,109,23,0.383333,1106
11:00,2016-04-14,1503960366,64,7,0.116667,50
12:00,2016-04-14,1503960366,85,18,0.3,501
13:00,2016-04-14,1503960366,137,54,0.9,1779
14:00,2016-04-14,1503960366,113,22,0.366667,1228
15:00,2016-04-14,1503960366,66,7,0.116667,139
16:00,2016-04-14,1503960366,88,25,0.416667,408
17:00,2016-04-14,1503960366,61,5,0.083333,37
18:00,2016-04-14,1503960366,72,12,0.2,322
19:00,2016-04-14,1503960366,55,1,0.016667,11
20:00,2016-04-14,1503960366,91,24,0.4,806
21:00,2016-04-14,1503960366,174,57,0.95,2670
22:00,2016-04-14,1503960366,79,17,0.283333,362
23:00,2016-04-14,1503960366,50,0,0.0,0
00:00,2016-04-15,1503960366,60,6,0.1,83
01:00,2016-04-15,1503960366,58,5,0.083333,75
02:00,2016-04-15,1503960366,59,7,0.116667,124
03:00,2016-04-15,1503960366,47,0,0.0,0
04:00,2016-04-15,1503960366,47,0,0.0,0
05:00,2016-04-15,1503960366,49,1,0.016667,26
06:00,2016-04-15,1503960366,47,0,0.0,0
07:00,2016-04-15,1503960366,49,1,0.016667,7
08:00,2016-04-15,1503960366,54,5,0.083333,55
09:00,2016-04-15,1503960366,50,2,0.033333,21
10:00,2016-04-15,1503960366,63,8,0.133333,154
11:00,2016-04-15,1503960366,84,23,0.383333,425
12:00,2016-04-15,1503960366,74,13,0.216667,270
13:00,2016-04-15,1503960366,67,9,0.15,373
14:00,2016-04-15,1503960366,47,0,0.0,0
15:00,2016-04-15,1503960366,47,0,0.0,0
16:00,2016-04-15,1503960366,47,0,0.0,0
17:00,2016-04-15,1503960366,140,47,0.783333,1774
18:00,2016-04-15,1503960366,87,22,0.366667,509
19:00,2016-04-15,1503960366,97,32,0.533333,519
20:00,2016-04-15,1503960366,64,8,0.133333,77
21:00,2016-04-15,1503960366,75,14,0.233333,280
22:00,2016-04-15,1503960366,151,66,1.1,2145
23:00,2016-04-15,1503960366,182,95,1.583333,2768
00:00,2016-04-16,1503960366,77,15,0.25,459
01:00,2016-04-16,1503960366,48,0,0.0,0
02:00,2016-04-16,1503960366,52,3,0.05,63
03:00,2016-04-16,1503960366,48,1,0.016667,6
04:00,2016-04-16,1503960366,49,1,0.016667,6
05:00,2016-04-16,1503960366,49,1,0.016667,12
06:00,2016-04-16,1503960366,48,0,0.0,0
07:00,2016-04-16,1503960366,54,4,0.066667,101
08:00,2016-04-16,1503960366,62,9,0.15,175
09:00,2016-04-16,1503960366,124,38,0.633333,1181
10:00,2016-04-16,1503960366,110,14,0.233333,1295
11:00,2016-04-16,1503960366,147,30,0.5,2043
12:00,2016-04-16,1503960366,119,42,0.7,1513
13:00,2016-04-16,1503960366,214,90,1.5,3616
14:00,2016-04-16,1503960366,82,20,0.333333,580
15:00,2016-04-16,1503960366,51,0,0.0,0
16:00,2016-04-16,1503960366,54,2,0.033333,15
17:00,2016-04-16,1503960366,79,17,0.283333,380
18:00,2016-04-16,1503960366,65,10,0.166667,96
19:00,2016-04-16,1503960366,67,12,0.2,146
20:00,2016-04-16,1503960366,81,19,0.316667,385
21:00,2016-04-16,1503960366,75,13,0.216667,463
22:00,2016-04-16,1503960366,55,3,0.05,42
23:00,2016-04-16,1503960366,56,5,0.083333,92
00:00,2016-04-17,1503960366,47,0,0.0,0
01:00,2016-04-17,1503960366,48,0,0.0,0
02:00,2016-04-17,1503960366,47,0,0.0,0
03:00,2016-04-17,1503960366,49,1,0.016667,8
04:00,2016-04-17,1503960366,48,0,0.0,0
05:00,2016-04-17,1503960366,48,0,0.0,0
06:00,2016-04-17,1503960366,48,0,0.0,0
07:00,2016-04-17,1503960366,48,0,0.0,0
08:00,2016-04-17,1503960366,48,0,0.0,0
09:00,2016-04-17,1503960366,48,0,0.0,0
10:00,2016-04-17,1503960366,47,0,0.0,0
11:00,2016-04-17,1503960366,63,9,0.15,84
12:00,2016-04-17,1503960366,76,18,0.3,260
13:00,2016-04-17,1503960366,83,23,0.383333,402
14:00,2016-04-17,1503960366,69,10,0.166667,252
15:00,2016-04-17,1503960366,73,13,0.216667,191
16:00,2016-04-17,1503960366,57,2,0.033333,13
17:00,2016-04-17,1503960366,174,71,1.183333,2613
18:00,2016-04-17,1503960366,136,39,0.65,1616
19:00,2016-04-17,1503960366,95,24,0.4,754
20:00,2016-04-17,1503960366,191,87,1.45,2955
21:00,2016-04-17,1503960366,79,16,0.266667,487
22:00,2016-04-17,1503960366,58,5,0.083333,70
23:00,2016-04-17,1503960366,50,0,0.0,0
00:00,2016-04-18,1503960366,82,21,0.35,416
01:00,2016-04-18,1503960366,48,0,0.0,0
02:00,2016-04-18,1503960366,47,0,0.0,0
03:00,2016-04-18,1503960366,47,0,0.0,0
04:00,2016-04-18,1503960366,47,0,0.0,0
05:00,2016-04-18,1503960366,47,0,0.0,0
06:00,2016-04-18,1503960366,47,0,0.0,0
07:00,2016-04-18,1503960366,47,0,0.0,0
08:00,2016-04-18,1503960366,47,0,0.0,0
09:00,2016-04-18,1503960366,133,39,0.65,1688
10:00,2016-04-18,1503960366,81,17,0.283333,380
11:00,2016-04-18,1503960366,73,15,0.25,328
12:00,2016-04-18,1503960366,118,40,0.666667,1306
13:00,2016-04-18,1503960366,70,9,0.15,268
14:00,2016-04-18,1503960366,64,7,0.116667,137
15:00,2016-04-18,1503960366,80,14,0.233333,495
16:00,2016-04-18,1503960366,78,17,0.283333,277
17:00,2016-04-18,1503960366,79,18,0.3,304
18:00,2016-04-18,1503960366,234,114,1.9,4074
19:00,2016-04-18,1503960366,157,30,0.5,2101
20:00,2016-04-18,1503960366,57,2,0.033333,28
21:00,2016-04-18,1503960366,68,11,0.183333,187
22:00,2016-04-18,1503960366,86,19,0.316667,542
23:00,2016-04-18,1503960366,83,18,0.3,488
00:00,2016-04-19,1503960366,47,0,0.0,0
01:00,2016-04-19,1503960366,49,1,0.016667,22
02:00,2016-04-19,1503960366,47,0,0.0,0
03:00,2016-04-19,1503960366,50,2,0.033333,9
04:00,2016-04-19,1503960366,47,0,0.0,0
05:00,2016-04-19,1503960366,47,0,0.0,0
06:00,2016-04-19,1503960366,49,1,0.016667,7
07:00,2016-04-19,1503960366,75,19,0.316667,316
08:00,2016-04-19,1503960366,130,38,0.633333,1656
09:00,2016-04-19,1503960366,79,16,0.266667,367
10:00,2016-04-19,1503960366,75,16,0.266667,203
11:00,2016-04-19,1503960366,72,13,0.216667,194
12:00,2016-04-19,1503960366,143,61,1.016667,1887
13:00,2016-04-19,1503960366,171,65,1.083333,2697
14:00,2016-04-19,1503960366,76,12,0.2,409
15:00,2016-04-19,1503960366,72,12,0.2,299
16:00,2016-04-19,1503960366,71,9,0.15,297
17:00,2016-04-19,1503960366,90,13,0.216667,732
18:00,2016-04-19,1503960366,120,30,0.5,1280
19:00,2016-04-19,1503960366,93,31,0.516667,397
20:00,2016-04-19,1503960366,159,69,1.15,2487
21:00,2016-04-19,1503960366,94,16,0.266667,826
22:00,2016-04-19,1503960366,58,4,0.066667,52
23:00,2016-04-19,1503960366,120,48,0.8,1369
00:00,2016-04-20,1503960366,54,2,0.033333,16
01:00,2016-04-20,1503960366,53,2,0.033333,36
02:00,2016-04-20,1503960366,47,0,0.0,0
03:00,2016-04-20,1503960366,48,0,0.0,0
04:00,2016-04-20,1503960366,48,0,0.0,0
05:00,2016-04-20,1503960366,47,0,0.0,0
06:00,2016-04-20,1503960366,48,0,0.0,0
07:00,2016-04-20,1503960366,51,3,0.05,29
08:00,2016-04-20,1503960366,70,14,0.233333,264
09:00,2016-04-20,1503960366,144,50,0.833333,1993
10:00,2016-04-20,1503960366,79,13,0.216667,459
11:00,2016-04-20,1503960366,58,1,0.016667,65
12:00,2016-04-20,1503960366,64,8,0.133333,185
13:00,2016-04-20,1503960366,61,5,0.083333,64
14:00,2016-04-20,1503960366,113,39,0.65,1270
15:00,2016-04-20,1503960366,97,21,0.35,797
16:00,2016-04-20,1503960366,70,11,0.183333,261
17:00,2016-04-20,1503960366,57,2,0.033333,13
18:00,2016-04-20,1503960366,114,32,0.533333,1308
19:00,2016-04-20,1503960366,117,36,0.6,1558
20:00,2016-04-20,1503960366,80,12,0.2,499
21:00,2016-04-20,1503960366,83,22,0.366667,395
22:00,2016-04-20,1503960366,62,7,0.116667,77
23:00,2016-04-20,1503960366,120,33,0.55,1255
00:00,2016-04-21,1503960366,54,2,0.033333,17
01:00,2016-04-21,1503960366,61,8,0.133333,129
02:00,2016-04-21,1503960366,55,5,0.083333,81
03:00,2016-04-21,1503960366,48,0,0.0,0
04:00,2016-04-21,1503960366,47,0,0.0,0
05:00,2016-04-21,1503960366,47,0,0.0,0
06:00,2016-04-21,1503960366,48,0,0.0,0
07:00,2016-04-21,1503960366,52,3,0.05,38
08:00,2016-04-21,1503960366,71,15,0.25,245
09:00,2016-04-21,1503960366,133,26,0.433333,1672
10:00,2016-04-21,1503960366,77,16,0.266667,255
11:00,2016-04-21,1503960366,55,0,0.0,0
12:00,2016-04-21,1503960366,73,11,0.183333,384
13:00,2016-04-21,1503960366,113,25,0.416667,1140
14:00,2016-04-21,1503960366,58,2,0.033333,12
15:00,2016-04-21,1503960366,68,8,0.133333,213
16:00,2016-04-21,1503960366,60,4,0.066667,26
17:00,2016-04-21,1503960366,60,5,0.083333,96
18:00,2016-04-21,1503960366,69,9,0.15,213
19:00,2016-04-21,1503960366,64,8,0.133333,100
20:00,2016-04-21,1503960366,213,92,1.533333,3541
21:00,2016-04-21,1503960366,104,21,0.35,970
22:00,2016-04-21,1503960366,63,9,0.15,89
23:00,2016-04-21,1503960366,84,15,0.25,598
00:00,2016-04-22,1503960366,47,0,0.0,0
01:00,2016-04-22,1503960366,47,0,0.0,0
02:00,2016-04-22,1503960366,47,0,0.0,0
03:00,2016-04-22,1503960366,47,0,0.0,0
04:00,2016-04-22,1503960366,47,0,0.0,0
05:00,2016-04-22,1503960366,47,0,0.0,0
06:00,2016-04-22,1503960366,47,0,0.0,0
07:00,2016-04-22,1503960366,47,0,0.0,0
08:00,2016-04-22,1503960366,47,0,0.0,0
09:00,2016-04-22,1503960366,65,13,0.216667,192
10:00,2016-04-22,1503960366,54,2,0.033333,29
11:00,2016-04-22,1503960366,102,34,0.566667,958
12:00,2016-04-22,1503960366,57,2,0.033333,38
13:00,2016-04-22,1503960366,60,4,0.066667,118
14:00,2016-04-22,1503960366,54,0,0.0,0
15:00,2016-04-22,1503960366,66,10,0.166667,180
16:00,2016-04-22,1503960366,58,4,0.066667,22
17:00,2016-04-22,1503960366,104,18,0.3,1041
18:00,2016-04-22,1503960366,87,23,0.383333,514
19:00,2016-04-22,1503960366,82,16,0.266667,629
20:00,2016-04-22,1503960366,71,13,0.216667,329
21:00,2016-04-22,1503960366,311,159,2.65,5934
22:00,2016-04-22,1503960366,95,30,0.5,855
23:00,2016-04-22,1503960366,136,54,0.9,1925
00:00,2016-04-23,1503960366,63,9,0.15,182
01:00,2016-04-23,1503960366,47,0,0.0,0
02:00,2016-04-23,1503960366,49,1,0.016667,11
03:00,2016-04-23,1503960366,47,0,0.0,0
04:00,2016-04-23,1503960366,47,0,0.0,0
05:00,2016-04-23,1503960366,48,0,0.0,0
06:00,2016-04-23,1503960366,50,2,0.033333,12
07:00,2016-04-23,1503960366,48,0,0.0,0
08:00,2016-04-23,1503960366,59,8,0.133333,127
09:00,2016-04-23,1503960366,75,17,0.283333,285
10:00,2016-04-23,1503960366,56,4,0.066667,49
11:00,2016-04-23,1503960366,84,11,0.183333,703
12:00,2016-04-23,1503960366,129,49,0.816667,1597
13:00,2016-04-23,1503960366,129,51,0.85,1453
14:00,2016-04-23,1503960366,78,20,0.333333,202
15:00,2016-04-23,1503960366,73,15,0.25,158
16:00,2016-04-23,1503960366,140,52,0.866667,2008
17:00,2016-04-23,1503960366,121,26,0.433333,1472
18:00,2016-04-23,1503960366,173,66,1.1,2569
19:00,2016-04-23,1503960366,51,2,0.033333,29
20:00,2016-04-23,1503960366,63,9,0.15,142
21:00,2016-04-23,1503960366,162,54,0.9,2432
22:00,2016-04-23,1503960366,96,25,0.416667,709
23:00,2016-04-23,1503960366,60,6,0.1,231
00:00,2016-04-24,1503960366,66,10,0.166667,141
01:00,2016-04-24,1503960366,54,2,0.033333,42
02:00,2016-04-24,1503960366,48,0,0.0,0
03:00,2016-04-24,1503960366,48,0,0.0,0
04:00,2016-04-24,1503960366,49,1,0.016667,8
05:00,2016-04-24,1503960366,48,0,0.0,0
06:00,2016-04-24,1503960366,49,1,0.016667,7
07:00,2016-04-24,1503960366,47,0,0.0,0
08:00,2016-04-24,1503960366,49,1,0.016667,8
09:00,2016-04-24,1503960366,59,8,0.133333,76
10:00,2016-04-24,1503960366,90,26,0.433333,492
11:00,2016-04-24,1503960366,67,12,0.2,149
12:00,2016-04-24,1503960366,82,12,0.2,548
13:00,2016-04-24,1503960366,74,12,0.2,394
14:00,2016-04-24,1503960366,52,1,0.016667,26
15:00,2016-04-24,1503960366,52,2,0.033333,27
16:00,2016-04-24,1503960366,102,29,0.483333,885
17:00,2016-04-24,1503960366,86,25,0.416667,411
18:00,2016-04-24,1503960366,115,40,0.666667,911
19:00,2016-04-24,1503960366,270,131,2.183333,4871
20:00,2016-04-24,1503960366,76,18,0.3,342
21:00,2016-04-24,1503960366,74,17,0.283333,244
22:00,2016-04-24,1503960366,61,7,0.116667,66
23:00,2016-04-24,1503960366,72,10,0.166667,391
00:00,2016-04-25,1503960366,62,8,0.133333,95
01:00,2016-04-25,1503960366,53,3,0.05,22
02:00,2016-04-25,1503960366,57,6,0.1,97
03:00,2016-04-25,1503960366,47,0,0.0,0
04:00,2016-04-25,1503960366,50,2,0.033333,25
05:00,2016-04-25,1503960366,49,1,0.016667,4
06:00,2016-04-25,1503960366,47,0,0.0,0
07:00,2016-04-25,1503960366,52,3,0.05,44
08:00,2016-04-25,1503960366,83,22,0.366667,426
09:00,2016-04-25,1503960366,146,46,0.766667,2041
10:00,2016-04-25,1503960366,73,12,0.2,258
11:00,2016-04-25,1503960366,121,24,0.4,1468
12:00,2016-04-25,1503960366,92,19,0.316667,707
13:00,2016-04-25,1503960366,75,13,0.216667,299
14:00,2016-04-25,1503960366,62,5,0.083333,94
15:00,2016-04-25,1503960366,76,13,0.216667,359
16:00,2016-04-25,1503960366,71,10,0.166667,263
17:00,2016-04-25,1503960366,67,8,0.133333,188
18:00,2016-04-25,1503960366,61,6,0.1,116
19:00,2016-04-25,1503960366,182,86,1.433333,2815
20:00,2016-04-25,1503960366,95,30,0.5,895
21:00,2016-04-25,1503960366,267,132,2.2,4895
22:00,2016-04-25,1503960366,68,11,0.183333,188
23:00,2016-04-25,1503960366,54,3,0.05,56
00:00,2016-04-26,1503960366,56,4,0.066667,101
01:00,2016-04-26,1503960366,66,11,0.183333,178
02:00,2016-04-26,1503960366,51,0,0.0,0
03:00,2016-04-26,1503960366,64,11,0.183333,145
04:00,2016-04-26,1503960366,48,0,0.0,0
05:00,2016-04-26,1503960366,49,1,0.016667,7
06:00,2016-04-26,1503960366,48,0,0.0,0
07:00,2016-04-26,1503960366,52,3,0.05,28
08:00,2016-04-26,1503960366,67,13,0.216667,173
09:00,2016-04-26,1503960366,139,31,0.516667,1826
10:00,2016-04-26,1503960366,92,22,0.366667,666
11:00,2016-04-26,1503960366,78,17,0.283333,266
12:00,2016-04-26,1503960366,74,10,0.166667,415
13:00,2016-04-26,1503960366,126,42,0.7,1571
14:00,2016-04-26,1503960366,142,60,1.0,1998
15:00,2016-04-26,1503960366,74,9,0.15,323
16:00,2016-04-26,1503960366,93,22,0.366667,697
17:00,2016-04-26,1503960366,60,5,0.083333,143
18:00,2016-04-26,1503960366,169,72,1.2,2513
19:00,2016-04-26,1503960366,73,15,0.25,148
20:00,2016-04-26,1503960366,127,26,0.433333,1649
21:00,2016-04-26,1503960366,79,14,0.233333,450
22:00,2016-04-26,1503960366,66,9,0.15,148
23:00,2016-04-26,1503960366,80,21,0.35,310
00:00,2016-04-27,1503960366,68,10,0.166667,277
01:00,2016-04-27,1503960366,59,5,0.083333,60
02:00,2016-04-27,1503960366,53,2,0.033333,17
03:00,2016-04-27,1503960366,47,0,0.0,0
04:00,2016-04-27,1503960366,47,0,0.0,0
05:00,2016-04-27,1503960366,47,0,0.0,0
06:00,2016-04-27,1503960366,47,0,0.0,0
07:00,2016-04-27,1503960366,47,0,0.0,0
08:00,2016-04-27,1503960366,47,0,0.0,0
09:00,2016-04-27,1503960366,149,33,0.55,1916
10:00,2016-04-27,1503960366,93,27,0.45,502
11:00,2016-04-27,1503960366,100,23,0.383333,797
12:00,2016-04-27,1503960366,89,12,0.2,701
13:00,2016-04-27,1503960366,76,13,0.216667,319
14:00,2016-04-27,1503960366,150,35,0.583333,1932
15:00,2016-04-27,1503960366,63,6,0.1,59
16:00,2016-04-27,1503960366,64,7,0.116667,98
17:00,2016-04-27,1503960366,73,13,0.216667,261
18:00,2016-04-27,1503960366,178,73,1.216667,2714
19:00,2016-04-27,1503960366,318,150,2.5,5786
20:00,2016-04-27,1503960366,174,70,1.166667,2420
21:00,2016-04-27,1503960366,76,20,0.333333,266
22:00,2016-04-27,1503960366,47,0,0.0,0
23:00,2016-04-27,1503960366,47,0,0.0,0
00:00,2016-04-28,1503960366,47,0,0.0,0
01:00,2016-04-28,1503960366,62,10,0.166667,127
02:00,2016-04-28,1503960366,48,0,0.0,0
03:00,2016-04-28,1503960366,47,0,0.0,0
04:00,2016-04-28,1503960366,48,0,0.0,0
05:00,2016-04-28,1503960366,47,0,0.0,0
06:00,2016-04-28,1503960366,48,0,0.0,0
07:00,2016-04-28,1503960366,49,1,0.016667,14
08:00,2016-04-28,1503960366,63,11,0.183333,128
09:00,2016-04-28,1503960366,116,38,0.633333,1192
10:00,2016-04-28,1503960366,105,19,0.316667,987
11:00,2016-04-28,1503960366,73,10,0.166667,288
12:00,2016-04-28,1503960366,78,16,0.266667,317
13:00,2016-04-28,1503960366,108,33,0.55,1144
14:00,2016-04-28,1503960366,124,47,0.783333,1512
15:00,2016-04-28,1503960366,61,5,0.083333,115
16:00,2016-04-28,1503960366,81,10,0.166667,554
17:00,2016-04-28,1503960366,72,11,0.183333,235
18:00,2016-04-28,1503960366,138,56,0.933333,1829
19:00,2016-04-28,1503960366,56,1,0.016667,13
20:00,2016-04-28,1503960366,151,50,0.833333,2122
21:00,2016-04-28,1503960366,103,21,0.35,986
22:00,2016-04-28,1503960366,55,2,0.033333,16
23:00,2016-04-28,1503960366,121,48,0.8,1512
00:00,2016-04-29,1503960366,65,9,0.15,202
01:00,2016-04-29,1503960366,49,0,0.0,0
02:00,2016-04-29,1503960366,54,4,0.066667,71
03:00,2016-04-29,1503960366,47,0,0.0,0
04:00,2016-04-29,1503960366,47,0,0.0,0
05:00,2016-04-29,1503960366,48,0,0.0,0
06:00,2016-04-29,1503960366,47,0,0.0,0
07:00,2016-04-29,1503960366,52,3,0.05,27
08:00,2016-04-29,1503960366,67,13,0.216667,201
09:00,2016-04-29,1503960366,142,33,0.55,1820
10:00,2016-04-29,1503960366,60,4,0.066667,44
11:00,2016-04-29,1503960366,60,4,0.066667,104
12:00,2016-04-29,1503960366,65,6,0.1,214
13:00,2016-04-29,1503960366,62,6,0.1,41
14:00,2016-04-29,1503960366,136,56,0.933333,1711
15:00,2016-04-29,1503960366,110,23,0.383333,1076
16:00,2016-04-29,1503960366,73,10,0.166667,285
17:00,2016-04-29,1503960366,75,9,0.15,380
18:00,2016-04-29,1503960366,60,5,0.083333,118
19:00,2016-04-29,1503960366,71,11,0.183333,267
20:00,2016-04-29,1503960366,80,16,0.266667,386
21:00,2016-04-29,1503960366,118,20,0.333333,1366
22:00,2016-04-29,1503960366,111,27,0.45,1111
23:00,2016-04-29,1503960366,140,56,0.933333,1757
00:00,2016-04-30,1503960366,51,1,0.016667,19
01:00,2016-04-30,1503960366,57,7,0.116667,65
02:00,2016-04-30,1503960366,47,0,0.0,0
03:00,2016-04-30,1503960366,49,1,0.016667,6
04:00,2016-04-30,1503960366,47,0,0.0,0
05:00,2016-04-30,1503960366,48,0,0.0,0
06:00,2016-04-30,1503960366,48,0,0.0,0
07:00,2016-04-30,1503960366,48,0,0.0,0
08:00,2016-04-30,1503960366,52,3,0.05,60
09:00,2016-04-30,1503960366,64,11,0.183333,148
10:00,2016-04-30,1503960366,72,17,0.283333,239
11:00,2016-04-30,1503960366,62,7,0.116667,127
12:00,2016-04-30,1503960366,58,4,0.066667,92
13:00,2016-04-30,1503960366,65,11,0.183333,141
14:00,2016-04-30,1503960366,85,22,0.366667,520
15:00,2016-04-30,1503960366,94,26,0.433333,993
16:00,2016-04-30,1503960366,203,99,1.65,3388
17:00,2016-04-30,1503960366,160,55,0.916667,2176
18:00,2016-04-30,1503960366,159,71,1.183333,2319
19:00,2016-04-30,1503960366,60,4,0.066667,92
20:00,2016-04-30,1503960366,62,5,0.083333,117
21:00,2016-04-30,1503960366,96,22,0.366667,840
22:00,2016-04-30,1503960366,144,47,0.783333,2139
23:00,2016-04-30,1503960366,116,28,0.466667,1192
00:00,2016-05-01,1503960366,64,9,0.15,247
01:00,2016-05-01,1503960366,60,8,0.133333,59
02:00,2016-05-01,1503960366,50,2,0.033333,36
03:00,2016-05-01,1503960366,48,1,0.016667,4
04:00,2016-05-01,1503960366,47,0,0.0,0
05:00,2016-05-01,1503960366,48,0,0.0,0
06:00,2016-05-01,1503960366,47,0,0.0,0
07:00,2016-05-01,1503960366,52,3,0.05,41
08:00,2016-05-01,1503960366,56,6,0.1,94
09:00,2016-05-01,1503960366,67,12,0.2,198
10:00,2016-05-01,1503960366,61,6,0.1,146
11:00,2016-05-01,1503960366,65,10,0.166667,103
12:00,2016-05-01,1503960366,66,10,0.166667,130
13:00,2016-05-01,1503960366,57,5,0.083333,85
14:00,2016-05-01,1503960366,91,25,0.416667,540
15:00,2016-05-01,1503960366,81,21,0.35,294
16:00,2016-05-01,1503960366,97,23,0.383333,823
17:00,2016-05-01,1503960366,108,33,0.55,1053
18:00,2016-05-01,1503960366,159,70,1.166667,2007
19:00,2016-05-01,1503960366,71,14,0.233333,177
20:00,2016-05-01,1503960366,59,6,0.1,93
21:00,2016-05-01,1503960366,86,25,0.416667,363
22:00,2016-05-01,1503960366,127,50,0.833333,1552
23:00,2016-05-01,1503960366,161,76,1.266667,2557
00:00,2016-05-02,1503960366,50,0,0.0,0
01:00,2016-05-02,1503960366,59,7,0.116667,119
02:00,2016-05-02,1503960366,47,0,0.0,0
03:00,2016-05-02,1503960366,49,1,0.016667,21
04:00,2016-05-02,1503960366,47,0,0.0,0
05:00,2016-05-02,1503960366,47,0,0.0,0
06:00,2016-05-02,1503960366,47,0,0.0,0
07:00,2016-05-02,1503960366,51,3,0.05,28
08:00,2016-05-02,1503960366,68,12,0.2,245
09:00,2016-05-02,1503960366,142,30,0.5,1690
10:00,2016-05-02,1503960366,82,19,0.316667,369
11:00,2016-05-02,1503960366,78,16,0.266667,384
12:00,2016-05-02,1503960366,153,64,1.066667,2116
13:00,2016-05-02,1503960366,107,21,0.35,1064
14:00,2016-05-02,1503960366,75,13,0.216667,355
15:00,2016-05-02,1503960366,76,11,0.183333,418
16:00,2016-05-02,1503960366,88,24,0.4,420
17:00,2016-05-02,1503960366,73,12,0.2,340
18:00,2016-05-02,1503960366,68,9,0.15,227
19:00,2016-05-02,1503960366,73,13,0.216667,235
20:00,2016-05-02,1503960366,231,105,1.75,3903
21:00,2016-05-02,1503960366,119,25,0.416667,1427
22:00,2016-05-02,1503960366,106,28,0.466667,945
23:00,2016-05-02,1503960366,80,17,0.283333,404
00:00,2016-05-03,1503960366,54,3,0.05,55
01:00,2016-05-03,1503960366,58,6,0.1,79
02:00,2016-05-03,1503960366,49,1,0.016667,20
03:00,2016-05-03,1503960366,57,5,0.083333,110
04:00,2016-05-03,1503960366,47,0,0.0,0
05:00,2016-05-03,1503960366,47,0,0.0,0
06:00,2016-05-03,1503960366,50,2,0.033333,16
07:00,2016-05-03,1503960366,51,3,0.05,23
08:00,2016-05-03,1503960366,64,11,0.183333,158
09:00,2016-05-03,1503960366,114,24,0.4,1391
10:00,2016-05-03,1503960366,99,25,0.416667,955
11:00,2016-05-03,1503960366,74,12,0.2,297
12:00,2016-05-03,1503960366,81,17,0.283333,396
13:00,2016-05-03,1503960366,83,23,0.383333,309
14:00,2016-05-03,1503960366,88,26,0.433333,384
15:00,2016-05-03,1503960366,136,46,0.766667,1719
16:00,2016-05-03,1503960366,103,33,0.55,870
